15/12/2016,08:02,15:59,*,Thursday
16/12/2016,08:02,15:59,*,Friday
17/12/2016,08:03,16:00,*,Saturday
18/12/2016,08:04,16:00,*,Sunday
19/12/2016,08:04,16:00,*,Monday
20/12/2016,08:05,16:01,*,Tuesday
21/12/2016,08:06,16:01,LastQuarter,Wednesday
22/12/2016,08:06,16:02,*,Thursday
23/12/2016,08:06,16:02,*,Friday
24/12/2016,08:07,16:03,*,Saturday
25/12/2016,08:07,16:04,*,Sunday
26/12/2016,08:07,16:04,*,Monday
27/12/2016,08:08,16:05,*,Tuesday
28/12/2016,08:08,16:06,*,Wednesday
29/12/2016,08:08,16:07,NewMoon,Thursday
30/12/2016,08:08,16:08,*,Friday
31/12/2016,08:08,16:09,*,Saturday
